id,Site,Area,d13C,d15N
Aqco 26,Aquihueco,SW-Mza,-18,7.4
Aqco 38,Aquihueco,SW-Mza,-17.9,9.9
Aqco Ent I,Aquihueco,SW-Mza,-19.01,8.75
Aqco Ent VII,Aquihueco,SW-Mza,-18.43,10.49
HL C2 I1,Hermanos Lazcano,SW-Mza,-18.5,6.7
HL Ent5 C1A,Hermanos Lazcano,SW-Mza,-18.6,6.9
HL II 3 3,Hermanos Lazcano,SW-Mza,-18.4,7.3
