site_ID ,long ,lat ,elev ,sample_ID ,species ,sample_value
HermanosLazcano,-70.458854,-37.261235,1069.8,HL-C2-1,1,-15.913
HermanosLazcano,-70.458854,-37.261235,1350.35,HL-IIE5C1A,1,-15.896
HermanosLazcano,-70.458854,-37.261235,1252.17,HL-II3.3,1,-14.931
HermanosLazcano,-70.458854,-37.261235,1314.2,HL-C1-2,1,-11.633
HermanosLazcano,-70.458854,-37.261235,1162.02,HL-C2I3,1,-12.643
HermanosLazcano,-70.458854,-37.261235,1045.66,HL-C1I4,1,-12.839
